a       b       c       Ожидаемый результат     Описание
### Позитивные тесты ###
5       5       5       equilateral             Равносторонний треугольник
7       7       10      isosceles               Равнобедренный треугольник
7       10      7       isosceles               Равнобедренный треугольник
10      7       7       isosceles               Равнобедренный треугольник
3       4       5       nonequilateral          Разносторонний треугольник
10.5    10.5    10.5    equilateral             Равносторонний треугольник, проверка рабоспособности с числами с плавающей точкой

### Негативные тесты ###
1       2       3       IncorrectTriangleSides  Неравенство треугольника не соблюдается
10      2       1       IncorrectTriangleSides  Неравенство треугольника не соблюдается
0       5       5       IncorrectTriangleSides  Одна из сторон равна нулю
-2      4       4       IncorrectTriangleSides  Одна из сторон отрицательная
0       0       0       IncorrectTriangleSides  Все стороны равны нулю
